contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
0crat,bot,-33.88056385695542,4.201260709000123,,,,299,1H,24.0,357
AppVeyorBot,bot,-0.390269020874652,0.660952254841424,,,,300,1H,24.0,527
Code-Inside-Bot,bot,0.9975376093745787,0.021321730767852435,0.0,0.0,24.0,293,1H,24.0,600
CrowdinBot,bot,0.02685826898554433,1.3149968056106014,-31.0,-146.0,65.0,292,1H,24.0,553
DrahtBot,bot,-0.04843331783654081,0.47016056943426887,-64.0,,,299,1H,24.0,878
PJBot,bot,-0.1561049091467983,1.1168285193493719,,,,298,4H,6.0,419
addonsbot,bot,-0.055471600596289417,4.390027612633374,-8.0,-12.0,55.0,289,4H,6.0,389
adobe-bot,bot,-0.1562058771635786,0.4989934767474752,-103.0,,,300,3T,,445
agones-bot,bot,-0.8433778959385516,0.668994630010847,,,,299,1H,24.0,688
alluxio-bot,bot,-0.13467804328884792,0.8309025668986284,,,,293,2H,12.0,551
analysis-bot,bot,0.04729405599182068,0.9753484093559658,-7.0,-71.0,,300,3H,8.0,494
angular-automatic-lock-bot[bot],bot,-13.49232629960495,12.584436256474616,30.0,304.0,518.0,252,30T,48.0,544
ansibot,bot,0.015367720161662657,0.7530450376604797,92.0,119.0,109.0,300,2H,12.0,527
apmmachine,bot,0.047071816412732725,1.6459020870308905,,,,299,20T,72.0,415
aporeto-bot,bot,-0.010357582344112437,2.2449081748355746,-96.0,,,287,1H,24.0,600
aws-cdk-automation,bot,-8.80897676682866,3.4415005904942344,,,,300,3T,,495
backportbot-nextcloud[bot],bot,-0.26317255979658416,1.115871388311015,89.0,326.0,373.0,295,30T,48.0,511
ballerina-bot,bot,-0.9710638570169263,1.1820174347088679,,,,300,10T,144.0,362
bedevere-bot,bot,-0.3070391557359011,0.8875420615120151,113.0,197.0,284.0,298,1H,24.0,608
bits-bot,bot,0.41694213449240924,0.5722885055180335,-24.0,-120.0,,294,3H,8.0,432
blathers-crl[bot],bot,-1.9612757078787486,4.084207216226537,16.0,131.0,340.0,277,7T,,377
bluespice-github-bot,bot,-1.1814733792687568,1.0618502332134605,130.0,284.0,452.0,300,1H,24.0,662
