contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
0crat,bot,-16.586641326960166,3.213818729763563,18.0,655.0,2317.0,299,1H,24.0,357
AppVeyorBot,bot,-0.04096104561854341,0.6561736783041163,20.0,57.0,33.0,300,1H,24.0,527
Code-Inside-Bot,bot,0.99769143360063,0.017420743939128666,0.0,0.0,24.0,293,1H,24.0,600
CrowdinBot,bot,-0.26496757462204523,3.462680114457431,68.0,43.0,335.0,292,1H,24.0,553
DrahtBot,bot,-0.020901623566055294,0.4755636047851144,9.0,-52.0,,299,1H,24.0,878
PJBot,bot,-0.10093001708878124,1.104321965515562,-189.0,,,298,4H,6.0,419
addonsbot,bot,0.09715809052362212,3.1160693600319993,-31.0,-57.0,,289,4H,6.0,389
adobe-bot,bot,-0.21986091446154776,0.5988031235380047,-12.0,-10.0,68.0,300,3T,,445
agones-bot,bot,-0.8895439322002108,0.8135220151034822,482.0,516.0,618.0,299,1H,24.0,688
alluxio-bot,bot,-0.037027846999110325,0.7806196023829487,-304.0,,,293,2H,12.0,551
analysis-bot,bot,0.052063270686346974,0.9797982031768612,-5.0,-64.0,,300,3H,8.0,494
angular-automatic-lock-bot[bot],bot,-3.00812381032161,4.846317591479127,12.0,268.0,472.0,252,30T,48.0,544
ansibot,bot,0.011168673362395354,0.7623771749826386,94.0,124.0,120.0,300,2H,12.0,527
apmmachine,bot,-0.23786614901598813,1.6078375373499714,,,,299,20T,72.0,415
aporeto-bot,bot,-0.0017724232193090383,2.2970427925125785,-75.0,,,287,1H,24.0,600
aws-cdk-automation,bot,-0.013029338485167186,0.5080321309170368,-106.0,-87.0,123.0,300,3T,,495
backportbot-nextcloud[bot],bot,-0.236503316393885,1.0896595185346516,89.0,322.0,363.0,295,30T,48.0,511
ballerina-bot,bot,0.26028050275029835,0.5419023862098014,10.0,41.0,90.0,300,10T,144.0,362
bedevere-bot,bot,-0.6124013625488522,1.0292316168402937,107.0,195.0,293.0,298,1H,24.0,608
bits-bot,bot,0.394115915152199,0.5973339523600657,-80.0,,,294,3H,8.0,432
blathers-crl[bot],bot,-117128797.04522152,11110.781273769991,-57.0,63.0,279.0,277,7T,,377
bluespice-github-bot,bot,-0.9855013607733347,1.0040410949331582,123.0,273.0,436.0,300,1H,24.0,662
boring-cyborg[bot],bot,-0.0439414384710064,0.5310479702085418,-117.0,,,300,1H,24.0,737
bors-servo,bot,-0.13970381923659714,1.0161328731084143,87.0,-10.0,,297,30T,48.0,426
bot-gradle,bot,-0.21027729130578776,2.419807361489921,4.0,6.0,24.0,300,20T,72.0,392
carsonbot,bot,-0.0013898384115773599,1.3528737411240686,,,,296,4H,6.0,496
cf-gitbot,bot,-0.885224632672595,1.714141829283328,38.0,190.0,263.0,295,30T,48.0,354
cheminfo-bot,bot,-0.002082151978926028,0.6045906138341373,44.0,-24.0,161.0,300,1H,24.0,772
cla-bot[bot],bot,-0.06433775763962535,0.6253609475896059,-39.0,109.0,79.0,300,30T,48.0,534
cmsdmwmbot,bot,-0.0769289664876287,1.5172080437917466,5.0,78.0,146.0,292,4H,6.0,429
codeclimate[bot],bot,-0.1844307560019134,0.5340084556874237,-260.0,-457.0,,300,2T,,577
codesandbox[bot],bot,-0.6410975570165298,0.841870114359206,-7.0,-72.0,,300,8T,168.0,406
confs-tech-bot,bot,0.013703182984357354,0.7513891904027048,-68.0,-187.0,,299,1H,24.0,783
cozy-bot,bot,-29.72892024912542,8.559411548548969,144.0,263.0,455.0,298,1H,24.0,318
cypress-bot[bot],bot,-1.1949774743837192,2.4433006799576398,53.0,150.0,213.0,300,1H,24.0,373
delete-merged-branch[bot],bot,-8.158360945539268,2.141033127393579,46.0,-15.0,172.0,299,4T,,445
devOpsHazelcast,bot,-7.723243175040327,4.036961627075825,-23.0,208.0,888.0,299,30T,48.0,510
dlang-bot,bot,-0.5063682015861608,0.8990396790532237,82.0,121.0,283.0,300,2H,12.0,550
docker-library-bot,bot,-0.26292491590143596,2.3120995527303267,19.0,34.0,46.0,300,30T,48.0,322
dontcallmedom-bot,bot,-0.4408584328167018,1.0475453180171634,48.0,113.0,168.0,292,1H,24.0,479
dotnet-bot,bot,-9.299035624492149,3.6936302506873537,51.0,127.0,248.0,299,15T,96.0,414
dotnet-issue-labeler[bot],bot,-0.2169845156767949,0.6229210092374663,-18.0,112.0,388.0,300,1H,24.0,793
dotnet-maestro-bot,bot,0.0019363802806364738,0.8597143489433626,264.0,315.0,246.0,296,1H,24.0,705
edx-requirements-bot,bot,-0.8933711515725267,1.6122328107356607,-36.0,-20.0,157.0,299,15T,96.0,350
edx-transifex-bot,bot,0.13506960746567942,0.6393600887754403,115.0,119.0,217.0,295,1H,24.0,662
elife-bot,bot,-1.3435630157519571,3.243601216506767,438.0,602.0,620.0,295,20T,72.0,387
engine-flutter-autoroll,bot,-0.5226058135723488,1.6536484903265438,-45.0,,,300,20T,72.0,339
fire-bot,bot,0.09418863221618068,1.6626565047429156,11.0,26.0,68.0,299,4H,6.0,487
flinkbot,bot,-0.25049021725840004,0.7168739291053449,127.0,67.0,83.0,296,20T,72.0,452
fluttergithubbot,bot,-0.007720713880614127,1.0265695264459183,,,,300,30T,48.0,433
forking-renovate[bot],bot,-0.1844783348225354,0.8549546245299597,53.0,245.0,265.0,300,30T,48.0,417
fossabot,bot,0.0032057442877831965,1.25893632432169,-39.0,50.0,54.0,297,1H,24.0,389
garybot2,bot,0.10405898071136799,1.035321566217893,-42.0,-24.0,,300,4H,6.0,418
gatsby-cloud[bot],bot,-0.21702905942776352,0.9075559898811496,-129.0,,,300,20T,72.0,420
getsentry-bot,bot,-1.2708025325975192,2.6473490266182127,85.0,110.0,273.0,299,1H,24.0,364
gitguardian[bot],bot,-0.545421767911469,1.0475694417633197,11.0,67.0,129.0,300,10T,144.0,362
gitpod-io[bot],bot,-1.7508594955534247,0.5534307049687707,,,,300,30T,48.0,565
google-ml-butler[bot],bot,0.09887967842572265,1.1591024061989295,-134.0,,,300,1H,24.0,359
google-oss-bot,bot,0.6394291594225567,1.2381543907710653,30.0,48.0,91.0,300,20T,72.0,362
graalvmbot,bot,-0.36548896260010433,1.0313361097510967,24.0,,,299,20T,72.0,372
graviteeio,bot,-2368.8535831251907,48.0809176098613,282.0,660.0,1304.0,294,30T,48.0,523
guardrails[bot],bot,-0.6284106214260159,0.8505818413346644,-17.0,,,296,30T,48.0,403
hashicorp-cla,bot,-0.19653347745480532,0.6975135976525155,,,,300,1H,24.0,730
hasura-bot,bot,0.027610070136763087,0.9680747294970239,-45.0,22.0,81.0,297,1H,24.0,509
hft-team-city,bot,-0.14146686347487236,1.9923423404799798,,,,269,1H,24.0,329
ibmdotcom-bot,bot,-0.04686159139521662,1.026255119119825,-76.0,24.0,,297,1H,24.0,404
ionitron-bot[bot],bot,0.06211360551437506,1.0528186908980053,31.0,79.0,104.0,298,3H,8.0,460
istio-policy-bot,bot,0.5426451477092837,0.39120824992451114,-1.0,86.0,189.0,291,1H,24.0,655
jbosstm-bot,bot,-0.011254968565100887,1.5551248582557817,-122.0,,,290,2H,12.0,471
jenkins-x-bot-test,bot,-0.056387263809897226,2.302161794883838,,,,275,6H,4.0,361
jetstack-bot,bot,-1.3996076140080778,2.7184527243150773,146.0,192.0,216.0,295,30T,48.0,343
jitsi-jenkins,bot,-12.271341487315441,5.804651325185992,62.0,249.0,384.0,299,30T,48.0,341
johnpbloch-bot,bot,-2.083760039240103,1.9894437165734102,81.0,247.0,509.0,300,2H,12.0,503
jujubot,bot,-3.987870544536827,3.9698324431771974,35.0,138.0,209.0,297,4H,6.0,473
knative-prow-robot,bot,-0.3479405311890431,1.627521982891462,0.0,74.0,246.0,300,3H,8.0,446
ks-ci-bot,bot,0.0337979203628197,0.8396643898301205,-195.0,,,297,1H,24.0,594
kubevirt-commenter-bot,bot,-0.75165592934583,0.4673696692307064,,,,300,1H,24.0,595
lgtm-com[bot],bot,-0.8491658573025096,4.762745534611442,,,,296,4T,,406
lingohub[bot],bot,0.049764739211890396,0.5112887433467304,,,,296,2H,12.0,505
linux-foundation-easycla[bot],bot,-1.1840011838476836,1.1020848308062863,139.0,157.0,206.0,298,30T,48.0,362
livingdocs-automation,bot,-0.03142166529553969,1.3091706372766219,-16.0,9.0,,297,1H,24.0,305
mender-test-bot,bot,-3.532496810459219,2.981735314328484,78.0,233.0,277.0,296,1H,24.0,499
metal3-io-bot,bot,-35.286016008807856,7.951961508127073,51.0,350.0,434.0,298,30T,48.0,529
metamaskbot,bot,0.05132799991712533,1.1824166651600923,-42.0,,,297,30T,48.0,453
minikube-bot,bot,0.01787396552045528,1.1239554967203138,-15.0,-62.0,,300,2H,12.0,455
minikube-pr-bot,bot,0.06540547917944939,1.0316729333908075,26.0,29.0,71.0,300,3H,8.0,478
minio-trusted,bot,-0.2617984769076869,0.5088720368734171,,,,300,1H,24.0,499
miss-islington,bot,-0.2213723617214065,1.2778054098625244,-14.0,,,296,1H,24.0,313
mister-roboto,bot,-0.015887564333983972,0.9254148550079069,-60.0,-125.0,,300,1H,24.0,549
mm-cloud-bot,bot,-6.58393864062717,3.4565244337128633,227.0,261.0,347.0,300,30T,48.0,328
moz-wptsync-bot,bot,-0.4903820740433984,0.9398120773029993,,,,299,1H,24.0,531
mumukibot,bot,-9.775908560934619,4.165877090004102,,,,298,12T,120.0,357
nacho-bot,bot,-0.6449419653953701,1.4147424692065989,111.0,182.0,325.0,298,1H,24.0,441
neos-bot,bot,0.00013871577035340366,1.5151413026586409,-136.0,-148.0,-127.0,184,3H,8.0,421
netkan-bot,bot,-113.16490034549653,25.488552016551015,97.0,355.0,442.0,271,1H,24.0,504
nextcloud-bot,bot,-8.250248828653946,16.78717952451557,10.0,84.0,127.0,296,20T,72.0,358
ninjadotorg-bot,bot,-1.6811838895377478,0.0653014307711221,0.0,5.0,14.0,300,1H,24.0,555
niveristand-diff-bot,bot,-1.7215842765181866,2.7656887700874817,161.0,519.0,552.0,277,30T,48.0,439
nodebb-misty,bot,-0.0072264664186649785,1.2169420914179354,23.0,22.0,14.0,293,4H,6.0,465
nodejs-github-bot,bot,-0.2511979703009386,1.0311787983633016,-49.0,,,300,20T,72.0,408
nur-bot,bot,0.02041152581021377,0.7242663564614156,-31.0,,,298,30T,48.0,497
octokit-fixture-user-a,bot,0.6296721982986391,0.7714754807614485,,,,300,30T,48.0,575
octokitbot,bot,-7.600613094198074,6.394667641382697,,,,237,1H,24.0,625
oll-bot,bot,-0.22238702053936144,0.9231098500122022,98.0,186.0,408.0,300,1H,24.0,523
openhab-bot,bot,0.156677643042617,0.6483826439458753,2.0,2.0,32.0,300,20T,72.0,382
openshift-cherrypick-robot,bot,-24.68331722283679,6.548360998467341,250.0,233.0,302.0,296,4T,,447
openssl-machine,bot,-0.4132498374435809,1.0409118630745746,47.0,147.0,350.0,300,1H,24.0,548
pantheon-ci-bot,bot,-0.027633331719820076,0.6503904316976205,-287.0,-535.0,1086.0,299,1H,24.0,844
pdfjsbot,bot,0.054509007722807756,0.763575546373546,-119.0,-55.0,100.0,300,1H,24.0,719
pirate-bot,bot,-0.8301145804431893,4.420858828839533,6.0,74.0,169.0,268,1H,24.0,490
pivotal-cla,bot,0.030408501416262057,1.0393459065215882,-15.0,-6.0,,300,4H,6.0,389
pytorchbot,bot,0.7209367315306165,0.37954584255342866,-42.0,-133.0,,300,1H,24.0,440
qmk-bot,bot,0.003635586733646501,0.6241949435539907,-1.0,-101.0,,300,1H,24.0,879
r-ryantm,bot,-28492667.762360264,1585.0460342424196,102.0,89.0,1298.0,298,4T,,419
release-drafter[bot],bot,-0.053559996120059905,0.8053677062104329,14.0,70.0,127.0,300,3H,8.0,480
renovate-approve-2[bot],bot,-113.44871081805857,5.649126354005933,85.0,320.0,460.0,300,3T,,428
repo-ranger[bot],bot,-0.46127021355314257,0.9007231412506808,91.0,152.0,132.0,300,30T,48.0,556
restyled-io[bot],bot,-4.939922863284367e+23,45195827895.955,1918.0,3718.0,6384.0,299,1T,,762
review-notebook-app[bot],bot,-2.067721756639218,3.5501265863450215,22.0,106.0,160.0,300,20T,72.0,433
robot-clickhouse,bot,-0.04720665689672687,1.1546936922709987,18.0,48.0,72.0,294,1H,24.0,475
rultor,bot,-0.5652199006802516,1.4613591243410096,,,,298,20T,72.0,341
rust-timer,bot,-0.3043498817141781,1.6310244019516007,-97.0,,,300,20T,72.0,442
rustbot,bot,-0.09293169910292565,0.9235979960261069,19.0,16.0,51.0,300,30T,48.0,441
sagemaker-bot,bot,-0.4045073112620863,1.9907531393794626,-15.0,2.0,58.0,299,20T,72.0,386
salesforce-cla[bot],bot,-0.015741374167513866,1.2212223581095785,-69.0,,,300,4H,6.0,510
scrutinizer-notifier,bot,-0.1708283660051788,1.203200171884744,59.0,192.0,396.0,300,1H,24.0,657
sentry-io[bot],bot,-0.0689585400976025,0.5647046482333519,-16.0,-4.0,8.0,299,1H,24.0,760
similar-code-searcher[bot],bot,-0.0360188663306833,0.6473433761349626,-191.0,,,298,2H,12.0,539
skia-flutter-autoroll,bot,-0.2788943210235655,1.6227674159844274,0.0,22.0,71.0,300,20T,72.0,417
softwarefactory-project-zuul[bot],bot,-6.246482450921807,3.0638765098492624,,,,300,30T,48.0,335
soloio-bot,bot,-0.11772691110851397,1.2576001084172312,39.0,366.0,263.0,275,1H,24.0,574
sourcegraph-bot,bot,-376.1578478494104,6.811852064166747,182.0,225.0,504.0,299,3T,,500
