contributor,category,r2,mae,ctd_100,ctd_200,ctd_300,n_activities,frequency,seasonality,data_points
0crat,bot,-28.182812967389182,1.7636893316773221,-27.0,554.0,2160.0,299,1H,24.0,357
AppVeyorBot,bot,-1.8052984080488739,0.9208854942062745,14.0,43.0,35.0,300,1H,24.0,527
Code-Inside-Bot,bot,0.9977511055171631,0.009843905802847894,0.0,0.0,0.0,293,1H,24.0,600
CrowdinBot,bot,-12.040823205375442,5.597695306846834,,,,292,1H,24.0,553
DrahtBot,bot,-1.996787022532153,0.8043499527389528,7.0,22.0,19.0,299,1H,24.0,878
PJBot,bot,-0.2488489261757132,1.311009987144871,-67.0,,,298,4H,6.0,419
addonsbot,bot,-7.451247126580707,10.483350208267982,,,,289,4H,6.0,389
adobe-bot,bot,-0.10774391093447888,0.6364778163502174,38.0,90.0,216.0,300,3T,,445
agones-bot,bot,-0.726171632194744,0.5259805657948399,390.0,312.0,292.0,299,1H,24.0,688
alluxio-bot,bot,-0.4147215038302994,0.9203973703798305,-97.0,-98.0,,293,2H,12.0,551
analysis-bot,bot,-0.4878329053039099,1.1579893422017755,-28.0,,,300,3H,8.0,494
angular-automatic-lock-bot[bot],bot,-1.5132007091956856,1.2139829697755558,-144.0,-80.0,-32.0,252,30T,48.0,544
ansibot,bot,-17.88489355337889,2.80104544896036,66.0,58.0,12.0,300,2H,12.0,527
apmmachine,bot,-2.1297946494230744,1.274131319255758,121.0,60.0,57.0,299,20T,72.0,415
aporeto-bot,bot,-0.18502424041714982,2.684788376031403,,,,287,1H,24.0,600
aws-cdk-automation,bot,-0.05914810254032332,0.7019054158698752,42.0,206.0,560.0,300,3T,,495
backportbot-nextcloud[bot],bot,-3.1587285378057457,1.237376079791441,41.0,204.0,198.0,295,30T,48.0,511
ballerina-bot,bot,-1.268295743369781,0.5085801183346652,15.0,47.0,82.0,300,10T,144.0,362
bedevere-bot,bot,-14.97689665745827,1.7534785220894489,-29.0,-68.0,,298,1H,24.0,608
bits-bot,bot,0.11283541883572956,0.5980221716154263,16.0,16.0,27.0,294,3H,8.0,432
blathers-crl[bot],bot,-0.004734172612373744,1.0884399836569332,-81.0,-65.0,42.0,277,7T,,377
bluespice-github-bot,bot,-10.650084141794558,1.44506583833247,9.0,41.0,78.0,300,1H,24.0,662
boring-cyborg[bot],bot,-1.0821115382820459,0.654837730830207,-16.0,-9.0,,300,1H,24.0,737
bors-servo,bot,-1.0724806007746794,1.1603569604137776,95.0,46.0,,297,30T,48.0,426
bot-gradle,bot,-2.9549370907187185,2.795164398531867,,,,300,20T,72.0,392
carsonbot,bot,-0.005853819667982929,1.4792680774840865,-164.0,,,296,4H,6.0,496
cf-gitbot,bot,-1.220123550485591,1.3337744217059986,-18.0,58.0,74.0,295,30T,48.0,354
cheminfo-bot,bot,-4.8355747997852045,1.5258781651481925,-4.0,-103.0,13.0,300,1H,24.0,772
cla-bot[bot],bot,-1.6489933168761146,0.7457447211460291,-2.0,167.0,154.0,300,30T,48.0,534
cmsdmwmbot,bot,-25.083395396973447,6.481281471142665,-84.0,-107.0,,292,4H,6.0,429
codeclimate[bot],bot,-0.047009103186774315,0.6279759708324583,-44.0,13.0,293.0,300,2T,,577
codesandbox[bot],bot,-1.96795982076098,0.9502092984049563,39.0,38.0,80.0,300,8T,168.0,406
confs-tech-bot,bot,-0.6570540388532355,0.9493936547584017,-69.0,-176.0,,299,1H,24.0,783
cozy-bot,bot,-36.550961046871834,4.3263990500011005,53.0,76.0,171.0,298,1H,24.0,318
cypress-bot[bot],bot,-25.94289949302264,4.046818428928862,-43.0,-49.0,,300,1H,24.0,373
delete-merged-branch[bot],bot,-0.050320132839973386,0.7410086853916851,54.0,10.0,211.0,299,4T,,445
devOpsHazelcast,bot,-11.937702896591698,2.007861327144023,-187.0,-96.0,439.0,299,30T,48.0,510
dlang-bot,bot,-18.92790830397237,2.2213116859366098,-17.0,-78.0,,300,2H,12.0,550
docker-library-bot,bot,-27.047565097771006,3.761054432654772,-87.0,,,300,30T,48.0,322
dontcallmedom-bot,bot,0.21038624192045485,0.7955391578694828,-24.0,-55.0,,292,1H,24.0,479
dotnet-bot,bot,-59.34856920781928,2.4585992771981187,,,,299,15T,96.0,414
dotnet-issue-labeler[bot],bot,-2.782428319828205,0.7777381376156662,-99.0,-68.0,103.0,300,1H,24.0,793
dotnet-maestro-bot,bot,-0.4479235094681162,0.6768777138471745,182.0,125.0,,296,1H,24.0,705
edx-requirements-bot,bot,-0.6508954812523979,1.2316817334888315,-44.0,-29.0,148.0,299,15T,96.0,350
edx-transifex-bot,bot,-18.253792015044727,3.27284299372603,90.0,44.0,72.0,295,1H,24.0,662
elife-bot,bot,-1.6478963757674712,0.9429437838589474,334.0,408.0,331.0,295,20T,72.0,387
engine-flutter-autoroll,bot,-12.91538473866183,2.504424965904509,-61.0,-107.0,,300,20T,72.0,339
fire-bot,bot,-0.7044650885864574,1.8967340499460814,-98.0,,,299,4H,6.0,487
flinkbot,bot,-1.9841226596887402,0.9280946384999742,193.0,183.0,198.0,296,20T,72.0,452
fluttergithubbot,bot,-3.0747125097027626,1.4626193786942518,18.0,-66.0,,300,30T,48.0,433
forking-renovate[bot],bot,-0.854463982722337,0.8906382712786279,172.0,399.0,427.0,300,30T,48.0,417
fossabot,bot,-0.5714993551395089,1.2818642319861666,-48.0,28.0,6.0,297,1H,24.0,389
garybot2,bot,-0.10461729943759468,1.2119569265059869,-71.0,-84.0,,300,4H,6.0,418
gatsby-cloud[bot],bot,-3.125361077443112,1.2130199190583093,-60.0,-78.0,,300,20T,72.0,420
getsentry-bot,bot,-13.988397100222604,3.39052746829621,-11.0,-82.0,,299,1H,24.0,364
gitguardian[bot],bot,-2.231684169110025,1.0640140426831937,-27.0,-6.0,,300,10T,144.0,362
gitpod-io[bot],bot,-15.291496834646278,0.6364803108688515,166.0,1229.0,2143.0,300,30T,48.0,565
google-ml-butler[bot],bot,-0.03210852935537645,1.4470349799001487,-45.0,-79.0,,300,1H,24.0,359
google-oss-bot,bot,-1.2995821967290286,1.3660051846433747,-36.0,,,300,20T,72.0,362
graalvmbot,bot,-1.9522680894252642,1.216246541366654,130.0,129.0,138.0,299,20T,72.0,372
graviteeio,bot,-117.8909037049737,3.5997786947735637,53.0,201.0,615.0,294,30T,48.0,523
guardrails[bot],bot,-1.069279462382768,0.8354005437304736,35.0,37.0,66.0,296,30T,48.0,403
hashicorp-cla,bot,-1.3355172674320284,0.8455458692935837,-19.0,-83.0,,300,1H,24.0,730
hasura-bot,bot,-1.2591707747338727,1.2296593194846839,-107.0,-109.0,,297,1H,24.0,509
hft-team-city,bot,-0.04844512436106885,1.781816839756948,-117.0,-219.0,,269,1H,24.0,329
ibmdotcom-bot,bot,-5.415158402100454,2.2786915692581085,-94.0,48.0,,297,1H,24.0,404
ionitron-bot[bot],bot,-0.22333447376645044,0.8853661527051282,-25.0,-39.0,,298,3H,8.0,460
istio-policy-bot,bot,0.27387833173895915,0.40118610305391483,2.0,110.0,237.0,291,1H,24.0,655
jbosstm-bot,bot,-1.1821889874759557,3.2423650762773644,-110.0,,,290,2H,12.0,471
jenkins-x-bot-test,bot,-0.07761661408372178,2.5788583245428636,-122.0,,,275,6H,4.0,361
jetstack-bot,bot,-16.46917025048824,2.922993410756868,53.0,5.0,,295,30T,48.0,343
jitsi-jenkins,bot,-15.94449781949304,2.775459780801426,-38.0,44.0,62.0,299,30T,48.0,341
johnpbloch-bot,bot,-6.040685745571842,2.130092626633873,-13.0,52.0,208.0,300,2H,12.0,503
jujubot,bot,-37.040367221411515,7.794733047518259,-95.0,,,297,4H,6.0,473
knative-prow-robot,bot,-12.14885872274705,4.0907365404384395,-65.0,-68.0,,300,3H,8.0,446
ks-ci-bot,bot,-0.3105885420571928,0.921929504936865,-2.0,-145.0,,297,1H,24.0,594
kubevirt-commenter-bot,bot,-3.3658448875654745,0.5669061869734946,148.0,145.0,346.0,300,1H,24.0,595
lgtm-com[bot],bot,-0.06882290142880154,2.201936930023919,-106.0,,,296,4T,,406
lingohub[bot],bot,-0.3659974969320987,0.3754784281439033,35.0,132.0,200.0,296,2H,12.0,505
linux-foundation-easycla[bot],bot,-3.803673663999036,1.1729358098270626,98.0,63.0,49.0,298,30T,48.0,362
livingdocs-automation,bot,-1.9115485633997862,1.497815113073416,23.0,86.0,86.0,297,1H,24.0,305
mender-test-bot,bot,-10.257327483093611,2.3667233922203246,-62.0,-54.0,,296,1H,24.0,499
metal3-io-bot,bot,-3.2286408672218405,1.2179894067567403,-135.0,7.0,,298,30T,48.0,529
metamaskbot,bot,-2.503521604723763,1.7459526279283555,-64.0,,,297,30T,48.0,453
minikube-bot,bot,-2.800615368850815,2.149804361562824,-37.0,-97.0,,300,2H,12.0,455
minikube-pr-bot,bot,-1.81622558472404,1.3450664784764452,-13.0,-69.0,,300,3H,8.0,478
minio-trusted,bot,-2.8134629944403193,0.7216674628187187,63.0,173.0,628.0,300,1H,24.0,499
miss-islington,bot,-1.5683349483190603,1.3540631110317973,86.0,67.0,95.0,296,1H,24.0,313
mister-roboto,bot,-0.16797820322394408,1.0147521302923868,-39.0,-85.0,,300,1H,24.0,549
mm-cloud-bot,bot,-9.349580021314205,1.864271052360039,126.0,62.0,76.0,300,30T,48.0,328
moz-wptsync-bot,bot,-2.6577197665971815,1.0100844154560855,16.0,146.0,46.0,299,1H,24.0,531
mumukibot,bot,-4.697954763085383,1.0938516694734317,117.0,475.0,473.0,298,12T,120.0,357
nacho-bot,bot,-9.061959987880313,2.045911071782512,39.0,31.0,94.0,298,1H,24.0,441
neos-bot,bot,-0.012819655498087945,1.3111433026681827,-243.0,,,184,3H,8.0,421
netkan-bot,bot,-60.014594992227224,7.739666077035928,-148.0,,,271,1H,24.0,504
nextcloud-bot,bot,-1.0915203426321445,2.3520812178595625,,,,296,20T,72.0,358
ninjadotorg-bot,bot,-1726.1113196343188,0.5001622453873236,-103.0,,,300,1H,24.0,555
niveristand-diff-bot,bot,-15.495480118933656,2.3298885878293296,14.0,238.0,143.0,277,30T,48.0,439
nodebb-misty,bot,-0.42505062113675307,1.2077142658196882,0.0,-38.0,,293,4H,6.0,465
nodejs-github-bot,bot,-1.8523528476486848,1.2945944628357853,-19.0,-102.0,,300,20T,72.0,408
nur-bot,bot,-0.8372062732027197,0.8560527925983374,46.0,17.0,20.0,298,30T,48.0,497
octokit-fixture-user-a,bot,-2.017788663548762,0.3700725898198096,288.0,576.0,864.0,300,30T,48.0,575
octokitbot,bot,-0.3892724882742302,0.5314084994989401,-240.0,-262.0,1340.0,237,1H,24.0,625
oll-bot,bot,-1.3299152577220181,0.8250031640901967,121.0,194.0,392.0,300,1H,24.0,523
openhab-bot,bot,-0.19627117667218608,0.65150325449231,-6.0,-4.0,21.0,300,20T,72.0,382
openshift-cherrypick-robot,bot,-0.0014069006629684466,1.0793749851579926,161.0,51.0,26.0,296,4T,,447
openssl-machine,bot,-0.5459962858816505,0.6938281440867782,-4.0,28.0,148.0,300,1H,24.0,548
pantheon-ci-bot,bot,-0.31881435645414014,0.8488483385666397,-329.0,-651.0,885.0,299,1H,24.0,844
pdfjsbot,bot,-1.300424045053087,0.9192770606445111,-124.0,-122.0,,300,1H,24.0,719
pirate-bot,bot,-11.65215690680825,6.076615154241173,-152.0,,,268,1H,24.0,490
pivotal-cla,bot,-0.6983138373509059,1.1724041317261797,-32.0,-50.0,,300,4H,6.0,389
pytorchbot,bot,0.6495426397464321,0.37080736733381503,0.0,4.0,2.0,300,1H,24.0,440
qmk-bot,bot,-0.5078035056454608,0.6713633968794704,-37.0,-158.0,,300,1H,24.0,879
r-ryantm,bot,-0.5448984005817223,0.7588077873596685,146.0,183.0,1440.0,298,4T,,419
release-drafter[bot],bot,-0.6441870789103243,0.7938072552798204,-17.0,-4.0,3.0,300,3H,8.0,480
renovate-approve-2[bot],bot,-0.1511731376990828,0.7582600826821739,57.0,265.0,378.0,300,3T,,428
repo-ranger[bot],bot,-9.156018558334118,1.671794662773583,37.0,48.0,,300,30T,48.0,556
restyled-io[bot],bot,-1.4438098397473311,0.4145206630322752,1961.0,3797.0,6488.0,299,1T,,762
review-notebook-app[bot],bot,-11.361705650489283,2.555946065785239,-146.0,,,300,20T,72.0,433
robot-clickhouse,bot,-0.24495487881448086,1.1107064014656882,13.0,17.0,-2.0,294,1H,24.0,475
rultor,bot,-2.0813399413634746,1.3185025919442503,33.0,18.0,28.0,298,20T,72.0,341
rust-timer,bot,-0.6117614775302593,1.6283125940924192,-56.0,,,300,20T,72.0,442
rustbot,bot,-1.3291239166445146,1.130060488891923,-18.0,-55.0,,300,30T,48.0,441
sagemaker-bot,bot,-2.12923908193306,1.7905153492122323,-145.0,,,299,20T,72.0,386
salesforce-cla[bot],bot,-0.014225393718152679,1.358321897007777,-8.0,,,300,4H,6.0,510
scrutinizer-notifier,bot,-1.8715553882301164,1.3559148737468003,-55.0,-31.0,52.0,300,1H,24.0,657
sentry-io[bot],bot,-2.2913635050416294,0.6876752093154154,6.0,35.0,56.0,299,1H,24.0,760
similar-code-searcher[bot],bot,-0.5776586192718942,0.9401530199066118,-22.0,-114.0,,298,2H,12.0,539
skia-flutter-autoroll,bot,-7.647927711890091,2.1634044359378843,-107.0,,,300,20T,72.0,417
softwarefactory-project-zuul[bot],bot,-1.3252965583883203,1.1284875431091175,132.0,133.0,144.0,300,30T,48.0,335
soloio-bot,bot,-0.03656955319931132,0.794143889989114,-46.0,176.0,,275,1H,24.0,574
sourcegraph-bot,bot,-0.1667756528860278,0.6031609868358189,128.0,116.0,341.0,299,3T,,500
spinnakerbot,bot,-0.11038591934681086,1.669926129718714,-122.0,,,292,2H,12.0,524
spring-builds,bot,-0.3703694000177622,1.2788182530869976,-80.0,-63.0,,300,4H,6.0,441
sprucelabs-ci,bot,-4.369907873872827,1.8316876936290252,-145.0,,,300,8T,168.0,400
sre-bot,bot,-6.042857411327148,0.4969194939173241,805.0,1491.0,1804.0,294,1H,24.0,661
stakater-user,bot,-25.547086119832695,0.8995086941770006,665.0,1256.0,1880.0,298,30T,48.0,385
status-im-auto,bot,-12.030906168777681,0.9903339193040875,-63.0,31.0,21.0,299,30T,48.0,565
submariner-bot,bot,-0.5947476273648542,0.9302095332607272,-72.0,71.0,134.0,298,20T,72.0,393
swift-ci,bot,-0.03553757981166816,0.7033505373769494,-29.0,18.0,127.0,300,7T,,355
taichi-gardener,bot,-7.700254482919668,2.9829452480058034,-265.0,,,271,1H,24.0,799
thundernest-bot,bot,-0.7686055359227573,1.2665127680334585,-79.0,-120.0,,299,4H,6.0,416
translatewiki,bot,-0.15452867981059337,1.169966994663691,-1.0,-1.0,,264,1H,24.0,408
tykbot[bot],bot,-0.43999450503706106,1.4641970454585485,-47.0,-118.0,,300,3H,8.0,434
usercont-release-bot,bot,0.5745988349864039,0.4078371964658933,-1.0,-1.0,,299,30T,48.0,526
va-bot,bot,0.3943953895542165,0.5288806384262245,-1.0,-14.0,,300,3H,8.0,416
vc-ci,bot,-4.09525035623002,0.8475559717499187,81.0,310.0,321.0,299,20T,72.0,427
violinist-bot,bot,-0.353473228711505,1.2417540251856227,-29.0,1.0,1.0,295,30T,48.0,344
vmwclabot,bot,-7.535936302551072,1.6430507440397972,103.0,88.0,102.0,297,1H,24.0,553
vscode-issue-tracker-bot,bot,1.0,2.227859892486541e-16,-2.0,-2.0,,300,30T,48.0,600
vtex-io-ci-cd[bot],bot,-0.8324960239670773,1.241279930448541,-143.0,-166.0,,297,1H,24.0,527
vtex-io-docs-bot[bot],bot,-1.9559935328419993,1.2375830742944172,168.0,163.0,325.0,300,2H,12.0,504
welcome[bot],bot,-1.8808041389972314,1.0967089807091985,-20.0,-31.0,,290,20T,72.0,389
wet-boew-bot,bot,-2.278299114540961,3.599677709677115,-59.0,-77.0,,300,4H,6.0,426
wso2-jenkins-bot,bot,-1.9281207993395046,1.4766036242003941,43.0,108.0,84.0,299,30T,48.0,376
ADmad,human,-10.95217715935651,5.720223294437527,-40.0,,,300,3H,8.0,419
Bernardo-MG,human,-7.447031383439818,1.2780599002862543,96.0,233.0,417.0,300,1H,24.0,313
Gerrit0,human,-2.078031954682274,4.354271474532844,-85.0,,,296,4H,6.0,467
Kikobeats,human,-1.1918245883476297,1.1419357179732812,-60.0,-115.0,,299,30T,48.0,577
Kukks,human,-0.7472542375663087,0.5575203147571519,50.0,-14.0,92.0,293,1H,24.0,843
LukeTowers,human,-6.530578023003491,8.137034498012635,-118.0,-246.0,,294,3H,8.0,448
NathanWalker,human,-2.683280391110136,2.845438675678854,-101.0,,,294,2H,12.0,547
Rotzbua,human,-3.1581439723548694,0.6371813333176912,66.0,148.0,373.0,299,1H,24.0,750
StevenMaude,human,-5.882527839022074,1.974803578330971,-47.0,43.0,43.0,296,1H,24.0,634
Stranger6667,human,-3.2079206100955178,1.0808807654803874,-56.0,302.0,697.0,300,1H,24.0,767
ababic,human,-0.16604315664698976,0.8917023748929853,-116.0,,,300,1H,24.0,727
achingbrain,human,-3.817557199358527,1.4009912022016957,139.0,119.0,92.0,299,30T,48.0,389
adamhsparks,human,-0.022234825877167408,0.7683175261341665,-168.0,,,296,1H,24.0,718
alanhamlett,human,-4.526990697391987,4.367432446884367,-111.0,,,298,2H,12.0,498
alexanderbez,human,-0.20879550614516074,1.170474786904707,24.0,-42.0,,300,1H,24.0,476
althonos,human,-1.1064882604698663,0.6994689836615656,70.0,407.0,488.0,299,2H,12.0,575
am-kantox,human,-4.646558386006363,2.967760302387261,-70.0,-97.0,,297,4H,6.0,468
andreubotella,human,-0.312900914429312,1.297528944419702,-126.0,-177.0,,299,3H,8.0,473
anthrotype,human,-1.1504582492601445,0.8204322040596939,145.0,241.0,460.0,298,30T,48.0,398
antonmedv,human,-1.3862260169596374,0.7621374819902843,-31.0,134.0,80.0,300,1H,24.0,850
azat,human,-13.347339525977148,2.0754869702165486,150.0,117.0,147.0,297,1H,24.0,555
bendrucker,human,-0.03660278350918156,0.9799413829848712,-120.0,-168.0,-35.0,290,2H,12.0,468
betatim,human,-2.128001368472822,0.6509435700278935,143.0,400.0,499.0,298,1H,24.0,866
bluca,human,-11.515325551374229,1.0779622326847669,-40.0,205.0,188.0,298,30T,48.0,462
bradymholt,human,-6.5931298419124404,3.8191991931000375,-116.0,-62.0,48.0,277,3H,8.0,439
cboettig,human,-1.110864811652723,0.5367378042852207,156.0,253.0,463.0,299,1H,24.0,845
cchantep,human,-0.32714030681568795,1.1131836604069194,-121.0,-134.0,,279,2H,12.0,481
cdepillabout,human,-0.24059809298716783,1.1518551360178877,-22.0,-13.0,,297,4H,6.0,410
chalin,human,-74.83371082387772,3.4118670241765594,466.0,463.0,1046.0,297,30T,48.0,335
codebytere,human,-0.5658751567487339,1.7804450992358585,-73.0,,,296,1H,24.0,670
daffl,human,-0.44645130285486934,0.5972288107502312,214.0,349.0,423.0,300,1H,24.0,728
dantleech,human,-0.04398209557429067,1.175573321177455,-134.0,,,295,1H,24.0,784
darrachequesne,human,-10.065090175331196,1.467171487585652,16.0,103.0,749.0,299,1H,24.0,721
davidv1992,human,-4.872459524639695,2.9157524831774784,-60.0,-37.0,,293,2H,12.0,589
dbaeumer,human,-3.7154386515704694,1.1958432526611102,-64.0,6.0,,295,1H,24.0,674
dbu,human,-0.3776715727056945,0.7618250173952608,362.0,425.0,341.0,300,1H,24.0,553
dbwiddis,human,-2.1593701918937036,1.0000987708553868,-49.0,-45.0,,300,30T,48.0,551
dereuromark,human,-2.6180560523781216,0.6430107255966138,279.0,235.0,580.0,298,1H,24.0,635
dmage,human,-42.18434202400452,6.380040962712359,15.0,7.0,42.0,299,3H,8.0,432
dpvc,human,-0.20919547082901202,0.5694130686496287,23.0,-42.0,209.0,299,1H,24.0,791
edsu,human,-0.0893134742423829,2.2559107535383394,-111.0,,,299,2H,12.0,495
eduardo-rodrigues,human,-0.18871604358108485,1.3853026161393471,-23.0,-88.0,,296,3H,8.0,424
ekohl,human,-0.6201553715144728,0.9484821159251228,191.0,102.0,63.0,299,30T,48.0,345
ericholscher,human,-1.9233737923266658,1.2908944019635757,29.0,57.0,297.0,294,1H,24.0,338
ericsoderberghp,human,-1.2144110670662052,0.8420058589026198,36.0,-28.0,70.0,300,1H,24.0,834
fax4ever,human,0.1632473310421525,1.0220899716738374,42.0,-7.0,,299,4H,6.0,384
gregturn,human,-0.163891583443454,2.6422785216426585,,,,298,1H,24.0,813
gsmet,human,-17.48233176415941,7.272927504256537,,,,286,30T,48.0,333
istarkov,human,-6.881346127012295,2.5123372344430677,6.0,-69.0,,297,1H,24.0,559
jacogr,human,-0.5616588962652649,1.0048633169523442,-7.0,86.0,61.0,294,30T,48.0,459
jakirkham,human,-3.423613379138919,3.555037144849623,-39.0,,,293,1H,24.0,329
jaraco,human,-5.553407916322236,2.0708466461442088,-158.0,-150.0,,292,1H,24.0,569
jaredallard,human,-0.8935906187225291,1.510120003133729,-21.0,-21.0,,299,1H,24.0,449
jennybc,human,-1.0917324506735087,1.2209136376685883,-59.0,-3.0,46.0,298,1H,24.0,386
jeremyf,human,-0.6938925144049097,1.0782165651622024,20.0,41.0,35.0,300,1H,24.0,385
kaczmarj,human,-6.255691864707624,0.5698749238604375,502.0,1081.0,1225.0,299,1H,24.0,684
keithamus,human,-0.08009084946201117,0.7432263810819668,-145.0,,,259,1H,24.0,839
